,Fecha,Producto,Cantidad,Precio_Unitario,Descuento,Total,Vendedor,Ubicación,Forma_Pago,Estado
39,2022-02-09,Tableta,8,679,0.1,2653,Juan,En linea,Tarjeta,Completo
40,2022-02-10,Laptop,9,966,0.1,1628,Maria,Local,nan,Completo
41,2022-02-11,Tableta,1,351,0.15,4010,Juan,En linea,Tarjeta,Completo
42,2022-02-12,Tableta,5,659,0.05,4823,Carlos,Local,nan,Pendiente
43,2022-02-13,Laptop,8,795,,4153,Juan,En linea,Tarjeta,Completo
44,2022-02-14,Laptop,2,931,,2865,Maria,En linea,Efectivo,Cancelado
45,2022-02-15,Tableta,4,798,0.1,3421,Carlos,En linea,nan,Pendiente
46,2022-02-16,Telefono,7,189,0.15,1579,Carlos,En linea,Efectivo,Pendiente
47,2022-02-17,Laptop,3,545,0.05,4011,Carlos,Local,nan,Pendiente
48,2022-02-18,Telefono,5,431,0.05,3241,Carlos,Local,Tarjeta,Pendiente
49,2022-02-19,Telefono,8,238,0.1,3520,Juan,Local,Efectivo,Cancelado
50,2022-02-20,Telefono,3,456,0.1,728,Maria,En linea,Tarjeta,Cancelado
51,2022-02-21,Laptop,4,700,0.05,670,Juan,En linea,nan,Completo
52,2022-02-22,Telefono,9,373,0.05,794,Juan,En linea,nan,Pendiente
53,2022-02-23,Laptop,7,118,0.1,4784,Carlos,En linea,nan,Completo
54,2022-02-24,Telefono,1,410,0.05,925,Maria,En linea,nan,Cancelado
55,2022-02-25,Tableta,4,969,,1418,Carlos,En linea,nan,Pendiente
56,2022-02-26,Tableta,4,985,0.1,3753,Juan,Local,Efectivo,Cancelado
57,2022-02-27,Laptop,9,253,0.05,998,Juan,Local,nan,Completo
58,2022-02-28,Tableta,6,489,0.1,3309,Carlos,Local,Tarjeta,Cancelado
59,2022-03-01,Tableta,9,359,0.15,1325,Juan,Local,Efectivo,Pendiente
60,2022-03-02,Telefono,6,719,0.1,4279,Juan,Local,Tarjeta,Pendiente
61,2022-03-03,Laptop,6,982,0.1,2358,Carlos,Local,nan,Completo
62,2022-03-04,Telefono,5,896,0.15,2618,Juan,Local,Tarjeta,Pendiente
63,2022-03-05,Telefono,5,670,,645,Maria,Local,Efectivo,Cancelado
64,2022-03-06,Telefono,2,224,0.05,4077,Carlos,En linea,Efectivo,Cancelado
65,2022-03-07,Telefono,8,453,0.15,692,Maria,En linea,Efectivo,Cancelado
66,2022-03-08,Telefono,8,372,0.1,4388,Juan,En linea,Tarjeta,Cancelado
67,2022-03-09,Telefono,1,718,0.05,551,Juan,En linea,Efectivo,Completo
68,2022-03-10,Telefono,8,910,0.15,2910,Carlos,En linea,Tarjeta,Cancelado
69,2022-03-11,Laptop,5,344,0.05,2320,Juan,En linea,nan,Completo
70,2022-03-12,Tableta,2,947,0.05,3464,Carlos,En linea,nan,Cancelado
71,2022-03-13,Telefono,2,549,0.15,3021,Carlos,Local,Tarjeta,Completo
72,2022-03-14,Telefono,6,346,0.05,2369,Carlos,Local,Efectivo,Cancelado
73,2022-03-15,Telefono,9,619,,3068,Carlos,En linea,Tarjeta,Cancelado
74,2022-03-16,Telefono,1,240,0.15,2367,Carlos,Local,Tarjeta,Completo
75,2022-03-17,Telefono,6,461,,3238,Maria,Local,Tarjeta,Pendiente
76,2022-03-18,Telefono,9,107,0.1,3769,Carlos,Local,nan,Pendiente
77,2022-03-19,Tableta,8,577,0.05,3699,Maria,Local,Tarjeta,Pendiente
78,2022-03-20,Tableta,6,451,0.1,3079,Juan,Local,nan,Completo
79,2022-03-21,Telefono,3,594,0.1,4505,Carlos,En linea,Tarjeta,Pendiente
80,2022-03-22,Tableta,8,705,0.05,740,Juan,Local,nan,Pendiente
81,2022-03-23,Laptop,9,932,0.15,3940,Carlos,En linea,Tarjeta,Completo
82,2022-03-24,Telefono,1,526,0.05,1907,Maria,En linea,Tarjeta,Pendiente
83,2022-03-25,Laptop,9,138,0.1,4002,Maria,En linea,Efectivo,Pendiente
84,2022-03-26,Laptop,6,692,0.1,4538,Maria,Local,Efectivo,Pendiente
85,2022-03-27,Telefono,6,286,0.15,582,Juan,En linea,Tarjeta,Completo
86,2022-03-28,Tableta,4,695,0.05,4268,Carlos,En linea,Tarjeta,Completo
87,2022-03-29,Laptop,1,699,0.1,1450,Juan,En linea,Tarjeta,Pendiente
88,2022-03-30,Telefono,8,853,,1110,Maria,En linea,Tarjeta,Pendiente
89,2022-03-31,Laptop,2,953,0.1,4105,Juan,Local,Efectivo,Completo
90,2022-04-01,Laptop,1,192,0.1,3783,Maria,En linea,nan,Pendiente
91,2022-04-02,Laptop,2,185,0.15,2673,Maria,En linea,Tarjeta,Completo
92,2022-04-03,Laptop,1,143,,3984,Maria,En linea,Efectivo,Pendiente
93,2022-04-04,Tableta,1,236,0.1,2022,Carlos,En linea,Tarjeta,Completo
94,2022-04-05,Laptop,9,520,0.1,3101,Carlos,Local,Tarjeta,Cancelado
95,2022-04-06,Laptop,1,173,,3157,Maria,En linea,nan,Cancelado
96,2022-04-07,Laptop,4,647,0.05,2659,Juan,En linea,Tarjeta,Completo
97,2022-04-08,Tableta,6,712,0.05,2949,Juan,En linea,Tarjeta,Cancelado
98,2022-04-09,Laptop,7,611,0.1,4330,Carlos,En linea,nan,Pendiente
99,2022-04-10,Laptop,2,255,0.1,621,Maria,En linea,nan,Completo
100,2022-04-11,Tableta,6,354,0.05,4868,Juan,En linea,nan,Completo
101,2022-04-12,Tableta,7,270,0.15,1817,Maria,Local,nan,Pendiente
102,2022-04-13,Tableta,2,827,,4993,Juan,En linea,Efectivo,Pendiente
103,2022-04-14,Laptop,2,269,,3018,Carlos,Local,Efectivo,Completo
104,2022-04-15,Tableta,7,863,0.15,1730,Maria,Local,Efectivo,Pendiente
105,2022-04-16,Tableta,1,971,0.15,1633,Maria,En linea,Tarjeta,Completo
106,2022-04-17,Laptop,8,421,0.15,1801,Juan,Local,nan,Pendiente
107,2022-04-18,Tableta,3,666,0.15,4534,Juan,En linea,nan,Completo
108,2022-04-19,Laptop,6,555,0.15,2410,Juan,Local,Efectivo,Pendiente
109,2022-04-20,Telefono,9,702,0.15,2005,Maria,En linea,Tarjeta,Pendiente
110,2022-04-21,Tableta,6,889,,3685,Carlos,Local,Tarjeta,Cancelado
111,2022-04-22,Telefono,9,712,0.15,2416,Carlos,Local,Tarjeta,Cancelado
112,2022-04-23,Laptop,7,254,0.05,4048,Juan,En linea,Efectivo,Cancelado
113,2022-04-24,Tableta,9,988,0.15,3257,Carlos,Local,Tarjeta,Pendiente
114,2022-04-25,Laptop,2,448,0.15,2456,Juan,Local,Tarjeta,Completo
115,2022-04-26,Telefono,8,550,,678,Carlos,Local,Tarjeta,Pendiente
116,2022-04-27,Laptop,8,975,,1396,Maria,Local,nan,Cancelado
117,2022-04-28,Tableta,2,752,0.15,2051,Juan,Local,Efectivo,Pendiente
118,2022-04-29,Tableta,4,272,,991,Carlos,En linea,nan,Cancelado
119,2022-04-30,Telefono,7,109,0.1,560,Maria,Local,nan,Cancelado
120,2022-05-01,Laptop,4,839,,1577,Carlos,Local,Efectivo,Completo
121,2022-05-02,Tableta,4,364,,3395,Maria,En linea,nan,Completo
122,2022-05-03,Telefono,6,537,,4660,Maria,En linea,Tarjeta,Cancelado
123,2022-05-04,Tableta,6,859,,4183,Carlos,En linea,Tarjeta,Cancelado
124,2022-05-05,Tableta,3,346,0.05,1085,Carlos,Local,Tarjeta,Pendiente
125,2022-05-06,Laptop,9,766,0.05,4460,Maria,Local,Tarjeta,Cancelado
126,2022-05-07,Tableta,2,645,0.05,4270,Maria,Local,Efectivo,Pendiente
127,2022-05-08,Laptop,6,598,0.15,1034,Maria,Local,nan,Cancelado
128,2022-05-09,Tableta,7,228,0.15,3962,Juan,En linea,nan,Completo
129,2022-05-10,Telefono,9,771,0.1,4511,Maria,En linea,Tarjeta,Completo
130,2022-05-11,Tableta,3,700,0.05,3898,Juan,Local,Tarjeta,Cancelado
131,2022-05-12,Laptop,3,704,0.15,2655,Maria,Local,nan,Pendiente
132,2022-05-13,Laptop,7,426,,1504,Juan,Local,Efectivo,Pendiente
133,2022-05-14,Telefono,4,852,,2999,Maria,Local,nan,Pendiente
134,2022-05-15,Tableta,8,934,0.05,826,Maria,En linea,Tarjeta,Cancelado
135,2022-05-16,Tableta,7,503,0.1,3206,Maria,En linea,Tarjeta,Cancelado
136,2022-05-17,Telefono,5,728,0.1,501,Carlos,Local,Efectivo,Completo
137,2022-05-18,Tableta,7,705,,1533,Carlos,En linea,nan,Completo
138,2022-05-19,Tableta,3,774,0.1,2981,Maria,Local,Efectivo,Cancelado
139,2022-05-20,Laptop,2,710,0.05,624,Juan,Local,Efectivo,Completo
140,2022-05-21,Tableta,6,724,,1604,Juan,En linea,Tarjeta,Pendiente
141,2022-05-22,Tableta,2,458,0.15,3199,Maria,Local,nan,Pendiente
142,2022-05-23,Telefono,3,702,0.15,2361,Carlos,En linea,Tarjeta,Cancelado
143,2022-05-24,Telefono,6,957,0.1,3420,Juan,Local,nan,Pendiente
144,2022-05-25,Laptop,5,817,,628,Carlos,En linea,Tarjeta,Cancelado
145,2022-05-26,Tableta,8,116,,937,Juan,Local,Tarjeta,Pendiente
146,2022-05-27,Tableta,9,373,0.15,3048,Maria,En linea,nan,Cancelado
147,2022-05-28,Tableta,3,784,,3629,Carlos,Local,nan,Pendiente
148,2022-05-29,Laptop,3,215,,1721,Juan,Local,Tarjeta,Pendiente
149,2022-05-30,Laptop,3,960,,1401,Maria,En linea,nan,Completo
150,2022-05-31,Telefono,6,792,0.1,3668,Maria,Local,Tarjeta,Completo
151,2022-06-01,Laptop,1,190,,4986,Maria,En linea,nan,Completo
152,2022-06-02,Tableta,7,181,0.05,4418,Carlos,En linea,Tarjeta,Completo
153,2022-06-03,Tableta,1,423,0.1,1567,Carlos,Local,Tarjeta,Completo
154,2022-06-04,Laptop,5,213,,526,Maria,Local,Tarjeta,Completo
155,2022-06-05,Tableta,8,868,,1047,Carlos,Local,Efectivo,Cancelado
156,2022-06-06,Tableta,4,157,0.05,3168,Juan,Local,nan,Cancelado
157,2022-06-07,Laptop,5,253,0.1,1066,Maria,En linea,Tarjeta,Completo
158,2022-06-08,Laptop,4,976,0.15,1203,Maria,Local,Efectivo,Cancelado
159,2022-06-09,Tableta,4,503,0.15,4780,Carlos,Local,Tarjeta,Completo
160,2022-06-10,Tableta,8,727,0.1,3640,Maria,Local,Efectivo,Cancelado
161,2022-06-11,Tableta,2,954,,2090,Juan,En linea,Tarjeta,Pendiente
162,2022-06-12,Telefono,1,365,,1305,Carlos,Local,Tarjeta,Cancelado
163,2022-06-13,Telefono,3,414,0.15,4291,Carlos,En linea,Efectivo,Cancelado
164,2022-06-14,Telefono,9,814,0.15,1857,Maria,Local,Efectivo,Cancelado
165,2022-06-15,Laptop,4,140,0.15,3725,Maria,En linea,nan,Pendiente
166,2022-06-16,Telefono,5,204,0.05,4118,Maria,Local,nan,Completo
167,2022-06-17,Laptop,2,989,0.15,2626,Carlos,Local,Efectivo,Cancelado
168,2022-06-18,Laptop,4,292,0.05,2960,Maria,En linea,nan,Cancelado
169,2022-06-19,Telefono,2,500,0.1,1045,Juan,Local,Efectivo,Pendiente
170,2022-06-20,Telefono,2,377,,3228,Maria,Local,nan,Completo
171,2022-06-21,Telefono,4,453,0.15,4234,Maria,Local,Tarjeta,Cancelado
172,2022-06-22,Tableta,6,848,,3062,Carlos,En linea,nan,Pendiente
173,2022-06-23,Telefono,7,832,,2579,Maria,Local,Tarjeta,Completo
174,2022-06-24,Tableta,3,679,0.15,3141,Carlos,En linea,Tarjeta,Completo
175,2022-06-25,Laptop,3,808,0.15,3614,Maria,En linea,nan,Cancelado
176,2022-06-26,Tableta,6,355,0.1,2426,Juan,En linea,Efectivo,Cancelado
177,2022-06-27,Telefono,3,750,0.05,1116,Juan,Local,Tarjeta,Cancelado
178,2022-06-28,Laptop,2,923,0.05,4144,Carlos,En linea,Tarjeta,Cancelado
179,2022-06-29,Laptop,8,760,,1703,Carlos,En linea,nan,Pendiente
180,2022-06-30,Laptop,5,198,0.15,2259,Maria,Local,Efectivo,Pendiente
181,2022-07-01,Tableta,1,687,0.1,3065,Maria,En linea,Efectivo,Cancelado
182,2022-07-02,Telefono,3,381,0.1,3674,Juan,En linea,nan,Completo
183,2022-07-03,Laptop,8,982,0.1,3581,Maria,Local,Efectivo,Cancelado
184,2022-07-04,Laptop,4,502,0.1,3130,Juan,Local,nan,Completo
185,2022-07-05,Laptop,7,208,0.1,3661,Carlos,En linea,nan,Completo
186,2022-07-06,Tableta,2,799,0.05,4821,Maria,Local,nan,Completo
187,2022-07-07,Tableta,7,298,0.05,1169,Carlos,Local,Tarjeta,Pendiente
188,2022-07-08,Telefono,5,402,0.05,3668,Maria,Local,Tarjeta,Completo
189,2022-07-09,Tableta,5,426,0.15,2621,Juan,En linea,Tarjeta,Completo
190,2022-07-10,Laptop,6,253,,4578,Carlos,En linea,nan,Pendiente
191,2022-07-11,Telefono,9,651,0.1,4651,Carlos,Local,Tarjeta,Completo
192,2022-07-12,Laptop,6,744,0.15,1219,Maria,En linea,Tarjeta,Completo
193,2022-07-13,Laptop,8,504,0.1,3100,Carlos,Local,Tarjeta,Cancelado
194,2022-07-14,Tableta,7,561,0.05,4098,Juan,Local,nan,Completo
195,2022-07-15,Telefono,9,231,0.15,1166,Carlos,Local,nan,Completo
196,2022-07-16,Tableta,4,890,0.05,783,Carlos,Local,nan,Completo
197,2022-07-17,Tableta,2,973,0.1,4403,Maria,Local,Tarjeta,Completo
198,2022-07-18,Telefono,7,183,0.1,4065,Carlos,En linea,Efectivo,Completo
199,2022-07-19,Laptop,6,498,,2734,Maria,En linea,Tarjeta,Pendiente
200,2022-07-20,Laptop,1,853,0.1,1965,Maria,En linea,Tarjeta,Completo
201,2022-07-21,Telefono,9,727,0.05,629,Carlos,En linea,nan,Completo
202,2022-07-22,Laptop,9,208,0.1,2560,Juan,Local,nan,Pendiente
203,2022-07-23,Telefono,2,320,,4172,Maria,Local,Tarjeta,Pendiente
204,2022-07-24,Telefono,3,652,,2994,Carlos,En linea,Tarjeta,Completo
205,2022-07-25,Tableta,5,467,0.05,1492,Maria,En linea,Efectivo,Completo
206,2022-07-26,Telefono,5,246,0.15,2621,Juan,Local,Efectivo,Completo
207,2022-07-27,Tableta,1,211,0.1,3084,Juan,Local,nan,Cancelado
208,2022-07-28,Laptop,8,714,,4696,Maria,Local,Efectivo,Cancelado
209,2022-07-29,Laptop,8,657,0.1,2723,Juan,En linea,Efectivo,Completo
210,2022-07-30,Laptop,4,593,0.1,3688,Carlos,Local,nan,Pendiente
211,2022-07-31,Laptop,7,604,0.15,3737,Carlos,Local,Efectivo,Completo
212,2022-08-01,Tableta,3,574,,4636,Maria,En linea,Tarjeta,Pendiente
213,2022-08-02,Laptop,6,935,0.1,843,Juan,En linea,Efectivo,Pendiente
214,2022-08-03,Telefono,9,989,,4961,Carlos,En linea,nan,Pendiente
215,2022-08-04,Telefono,1,370,0.05,2776,Carlos,Local,Tarjeta,Completo
216,2022-08-05,Telefono,5,520,0.05,3701,Carlos,Local,Efectivo,Completo
217,2022-08-06,Tableta,4,996,0.1,1388,Maria,En linea,Tarjeta,Pendiente
218,2022-08-07,Laptop,8,806,,2543,Maria,Local,Tarjeta,Cancelado
219,2022-08-08,Laptop,1,466,0.1,1841,Carlos,Local,Efectivo,Cancelado
220,2022-08-09,Laptop,9,379,,4220,Carlos,Local,Efectivo,Cancelado
221,2022-08-10,Tableta,6,382,,3383,Juan,En linea,nan,Pendiente
222,2022-08-11,Telefono,4,139,0.15,4712,Juan,En linea,nan,Completo
223,2022-08-12,Telefono,9,288,0.15,2915,Juan,Local,Tarjeta,Pendiente
224,2022-08-13,Laptop,5,263,0.15,1617,Maria,Local,nan,Cancelado
225,2022-08-14,Telefono,5,635,0.1,4763,Carlos,Local,Tarjeta,Completo
226,2022-08-15,Telefono,5,635,0.15,3501,Maria,Local,Tarjeta,Pendiente
227,2022-08-16,Tableta,1,103,0.15,2238,Carlos,En linea,nan,Pendiente
228,2022-08-17,Tableta,1,934,0.05,1864,Juan,En linea,nan,Cancelado
229,2022-08-18,Tableta,8,389,,3208,Juan,Local,nan,Pendiente
230,2022-08-19,Tableta,8,532,,1424,Juan,Local,Efectivo,Completo
231,2022-08-20,Laptop,6,570,0.15,651,Juan,En linea,Tarjeta,Cancelado
232,2022-08-21,Tableta,4,280,,1085,Carlos,Local,Tarjeta,Cancelado
233,2022-08-22,Telefono,2,347,0.05,1412,Juan,En linea,Tarjeta,Completo
234,2022-08-23,Laptop,2,727,0.05,2821,Carlos,Local,nan,Cancelado
235,2022-08-24,Telefono,9,378,0.15,995,Carlos,En linea,nan,Pendiente
236,2022-08-25,Telefono,5,976,0.05,4295,Maria,Local,nan,Pendiente
237,2022-08-26,Telefono,4,680,,2648,Juan,Local,nan,Cancelado
238,2022-08-27,Tableta,1,962,0.1,1056,Juan,En linea,nan,Completo
239,2022-08-28,Tableta,7,353,,2052,Maria,En linea,Efectivo,Pendiente
240,2022-08-29,Laptop,3,280,0.1,2620,Carlos,Local,nan,Completo
241,2022-08-30,Laptop,6,929,0.15,3585,Juan,Local,Tarjeta,Pendiente
242,2022-08-31,Tableta,5,780,0.1,4004,Carlos,En linea,nan,Pendiente
243,2022-09-01,Telefono,5,924,0.05,656,Maria,En linea,Tarjeta,Cancelado
244,2022-09-02,Laptop,5,608,,1234,Carlos,Local,nan,Cancelado
245,2022-09-03,Tableta,1,860,0.1,3776,Juan,Local,nan,Completo
246,2022-09-04,Tableta,1,799,,654,Carlos,En linea,Tarjeta,Cancelado
247,2022-09-05,Tableta,3,665,0.15,1496,Carlos,En linea,Tarjeta,Pendiente
248,2022-09-06,Telefono,4,425,0.15,2794,Juan,En linea,Tarjeta,Pendiente
249,2022-09-07,Tableta,5,456,0.05,3405,Juan,En linea,Tarjeta,Completo
250,2022-09-08,Tableta,2,924,0.15,1677,Carlos,En linea,Efectivo,Completo
251,2022-09-09,Tableta,8,749,0.1,653,Carlos,Local,Tarjeta,Pendiente
252,2022-09-10,Tableta,2,779,0.15,4687,Maria,Local,nan,Cancelado
253,2022-09-11,Laptop,9,490,0.05,2216,Juan,En linea,nan,Cancelado
254,2022-09-12,Laptop,2,714,,3702,Carlos,Local,Efectivo,Completo
255,2022-09-13,Tableta,9,184,,3357,Juan,Local,Tarjeta,Completo
256,2022-09-14,Telefono,7,416,0.15,1286,Maria,En linea,nan,Pendiente
257,2022-09-15,Laptop,8,311,0.1,4868,Carlos,Local,Efectivo,Pendiente
258,2022-09-16,Tableta,2,614,0.05,4772,Carlos,Local,nan,Completo
259,2022-09-17,Laptop,7,483,0.1,4267,Carlos,Local,Efectivo,Pendiente
260,2022-09-18,Laptop,6,790,0.05,3378,Juan,En linea,Efectivo,Completo
261,2022-09-19,Telefono,4,441,0.15,1142,Maria,En linea,Tarjeta,Completo
262,2022-09-20,Tableta,7,914,0.05,1165,Juan,Local,Efectivo,Cancelado
263,2022-09-21,Tableta,4,943,0.05,3926,Carlos,Local,nan,Completo
264,2022-09-22,Telefono,2,137,0.15,4283,Maria,Local,nan,Pendiente
265,2022-09-23,Telefono,7,610,0.1,4201,Carlos,Local,Tarjeta,Cancelado
266,2022-09-24,Tableta,8,519,0.15,1569,Carlos,Local,Tarjeta,Cancelado
267,2022-09-25,Tableta,2,850,0.05,2849,Juan,Local,Efectivo,Pendiente
268,2022-09-26,Telefono,5,268,0.15,1712,Carlos,En linea,Tarjeta,Pendiente
269,2022-09-27,Laptop,1,442,0.05,1652,Maria,Local,nan,Pendiente
270,2022-09-28,Laptop,7,925,0.15,3011,Carlos,Local,nan,Completo
271,2022-09-29,Telefono,8,405,,643,Carlos,En linea,Tarjeta,Cancelado
272,2022-09-30,Laptop,6,641,,2989,Juan,Local,Tarjeta,Completo
273,2022-10-01,Telefono,5,801,0.15,3728,Maria,Local,Tarjeta,Completo
274,2022-10-02,Laptop,6,968,0.1,3705,Juan,Local,Efectivo,Completo
275,2022-10-03,Laptop,2,636,0.05,4743,Carlos,Local,Efectivo,Completo
276,2022-10-04,Tableta,1,211,,3642,Juan,En linea,nan,Cancelado
277,2022-10-05,Tableta,7,510,0.1,3804,Juan,Local,Efectivo,Cancelado
278,2022-10-06,Laptop,7,305,0.05,1857,Juan,En linea,Efectivo,Completo
279,2022-10-07,Laptop,2,284,,3213,Juan,Local,Efectivo,Pendiente
280,2022-10-08,Tableta,2,481,,4685,Carlos,Local,Efectivo,Cancelado
281,2022-10-09,Tableta,1,595,0.15,1857,Carlos,En linea,nan,Completo
282,2022-10-10,Tableta,8,478,0.05,4794,Maria,Local,Tarjeta,Pendiente
283,2022-10-11,Telefono,8,146,0.1,3692,Juan,En linea,nan,Pendiente
284,2022-10-12,Laptop,1,985,0.1,800,Juan,En linea,Efectivo,Completo
285,2022-10-13,Tableta,8,839,0.1,1223,Maria,En linea,Tarjeta,Cancelado
286,2022-10-14,Laptop,9,650,0.05,3510,Juan,Local,Tarjeta,Pendiente
287,2022-10-15,Telefono,4,627,0.1,567,Maria,Local,Tarjeta,Cancelado
288,2022-10-16,Telefono,1,603,0.1,4336,Carlos,Local,nan,Cancelado
289,2022-10-17,Tableta,1,121,0.1,4493,Maria,Local,Tarjeta,Pendiente
290,2022-10-18,Telefono,3,312,0.15,3006,Juan,En linea,nan,Completo
291,2022-10-19,Laptop,5,409,0.15,2037,Maria,Local,nan,Pendiente
292,2022-10-20,Tableta,5,760,0.05,897,Carlos,Local,Efectivo,Pendiente
293,2022-10-21,Laptop,9,852,0.05,3857,Juan,En linea,Efectivo,Cancelado
294,2022-10-22,Laptop,2,371,0.1,1663,Carlos,En linea,Tarjeta,Completo
295,2022-10-23,Telefono,2,670,0.15,1055,Carlos,Local,Tarjeta,Cancelado
296,2022-10-24,Telefono,6,898,,4161,Maria,En linea,Efectivo,Pendiente
297,2022-10-25,Telefono,9,301,,2251,Carlos,En linea,nan,Completo
298,2022-10-26,Telefono,1,131,0.1,3441,Juan,En linea,nan,Completo
299,2022-10-27,Telefono,9,542,0.1,3157,Carlos,En linea,Efectivo,Completo
300,2022-10-28,Tableta,9,261,0.15,3295,Carlos,En linea,nan,Completo
301,2022-10-29,Laptop,9,866,0.15,2829,Maria,Local,Efectivo,Completo
302,2022-10-30,Laptop,5,353,0.15,2459,Carlos,Local,Efectivo,Pendiente
303,2022-10-31,Laptop,9,620,0.05,2101,Maria,Local,Tarjeta,Pendiente
304,2022-11-01,Laptop,4,750,0.05,3293,Maria,Local,Tarjeta,Pendiente
305,2022-11-02,Telefono,2,579,0.1,1980,Juan,Local,Efectivo,Cancelado
306,2022-11-03,Laptop,6,109,0.05,1602,Juan,Local,Tarjeta,Completo
307,2022-11-04,Tableta,4,825,0.15,3776,Juan,Local,Efectivo,Completo
308,2022-11-05,Tableta,6,604,0.15,1799,Juan,En linea,nan,Pendiente
309,2022-11-06,Laptop,3,884,0.05,4379,Maria,Local,nan,Completo
310,2022-11-07,Laptop,6,935,,2035,Carlos,Local,nan,Cancelado
311,2022-11-08,Tableta,2,659,0.1,577,Juan,Local,nan,Completo
312,2022-11-09,Tableta,2,535,,3331,Juan,En linea,Efectivo,Completo
313,2022-11-10,Telefono,9,210,0.1,3910,Juan,Local,nan,Cancelado
314,2022-11-11,Tableta,7,252,,3221,Carlos,Local,nan,Pendiente
315,2022-11-12,Telefono,3,734,0.05,4127,Juan,En linea,nan,Pendiente
316,2022-11-13,Telefono,1,968,0.1,2032,Carlos,Local,nan,Completo
317,2022-11-14,Telefono,8,201,0.1,737,Maria,Local,Efectivo,Cancelado
318,2022-11-15,Telefono,6,852,0.1,2496,Maria,En linea,nan,Pendiente
319,2022-11-16,Telefono,7,932,0.15,3927,Maria,Local,Tarjeta,Pendiente
320,2022-11-17,Laptop,9,290,0.15,777,Carlos,En linea,Tarjeta,Pendiente
321,2022-11-18,Tableta,5,828,,3589,Juan,Local,Tarjeta,Completo
322,2022-11-19,Telefono,1,662,0.05,1023,Juan,Local,Tarjeta,Cancelado
323,2022-11-20,Tableta,7,903,0.15,4775,Juan,Local,Tarjeta,Completo
324,2022-11-21,Tableta,5,180,0.1,4718,Juan,En linea,Tarjeta,Pendiente
